Jupiter,largest,gas giant,jupiter.jpeg
Mercury,smallest,terrestrial,mercury.jpeg
Venus,third-smallest,terrestrial,venus.jpeg
Saturn,second-largest,gas giant,saturn.jpeg
Earth,fourth-smallest,terrestrial,earth.jpeg
Uranus,third-largest,ice giant,uranus.jpeg
Mars,second-smallest,terrestrial,mars.jpeg
Neptune,fourth-largest,ice giant,neptune.jpeg
